input,output
Question: Give a level 1 title example. Answer: # Ceci est un titre de niveau 1,"# Ceci est un titre de niveau 1"
Question: Give a level 2 title example. Answer: ## Ceci est un titre de niveau 2,"## Ceci est un titre de niveau 2"
Question: Give a level 3 title example. Answer: ### Ceci est un titre de niveau 3,"### Ceci est un titre de niveau 3"
Question: Give a level 4 title example. Answer: #### Ceci est un titre de niveau 4,"#### Ceci est un titre de niveau 4"
Question: Show italic text. Answer: *texte en italique*,"*texte en italique*"
Question: Show bold text. Answer: **texte en gras**,"**texte en gras**"
Question: Show bold and italic text. Answer: ***gras + italique***,"***gras + italique***"
Question: Show strikethrough text. Answer: ~~texte barré~~,"~~texte barré~~"
Question: Give a bullet list example. Answer: - Élément 1\n- Élément 2,"- Élément 1\n- Élément 2"
Question: Give a bullet list with asterisks. Answer: * Élément 1\n* Élément 2,"* Élément 1\n* Élément 2"
Question: Give a numbered list example. Answer: 1. Premier\n2. Deuxième,"1. Premier\n2. Deuxième"
Question: Show a code block. Answer: print('Hello'),"```\nprint('Hello')\n```"
Question: Show inline code. Answer: Utilisez la commande `ls` pour lister les fichiers.,"Utilisez la commande `ls` pour lister les fichiers."
Question: Show a quote. Answer: > Ceci est une citation,"> Ceci est une citation"
Question: Show a table. Answer: | A | B |\n|---|---|\n| 1 | 2 |,"| A | B |\n|---|---|\n| 1 | 2 |"
Question: Show a link. Answer: [exemple](https://exemple.com),"[exemple](https://exemple.com)"
Question: Show an image. Answer: ![alt](https://exemple.com/img.png),"![alt](https://exemple.com/img.png)"
Question: Show a horizontal rule. Answer: ---,"---"
Question: Show a footnote. Answer: Ceci est un texte avec une note de bas de page[^1]\n\n[^1]: Ceci est la note,"Ceci est un texte avec une note de bas de page[^1]\n\n[^1]: Ceci est la note"
